feature_index,time_block,start_time,end_time,n,median,q1,q3,iqr
59,Block 1,2008-07-19 11:55:00,2008-08-22 00:47:00,392,9.62455,1.5666,20.735225,19.168625
59,Block 2,2008-08-22 01:04:00,2008-09-11 08:06:00,390,1.0340500000000001,-0.8748,3.1729249999999998,4.047725
59,Block 3,2008-09-11 08:58:00,2008-09-29 11:13:00,388,-0.25315,-2.575025,2.1136,4.688625
59,Block 4,2008-09-29 11:53:00,2008-10-17 06:07:00,390,-0.5523,-2.97455,1.777725,4.752275
129,Block 1,2008-07-19 11:55:00,2008-08-22 00:47:00,386,0.0,-0.1892,0.2838,0.473
129,Block 2,2008-08-22 01:04:00,2008-09-11 08:06:00,392,-0.0473,-0.4731,0.1419,0.615
129,Block 3,2008-09-11 08:58:00,2008-09-29 11:13:00,391,-2.222,-3.025,-0.4258,2.5991999999999997
129,Block 4,2008-09-29 11:53:00,2008-10-17 06:07:00,389,-0.2365,-0.8988,0.1419,1.0407
21,Block 1,2008-07-19 11:55:00,2008-08-22 00:47:00,391,-5560.75,-6308.625,-5408.375,900.25
21,Block 2,2008-08-22 01:04:00,2008-09-11 08:06:00,391,-5747.75,-6367.25,-5452.0,915.25
21,Block 3,2008-09-11 08:58:00,2008-09-29 11:13:00,391,-5475.75,-5621.25,-5334.875,286.375
21,Block 4,2008-09-29 11:53:00,2008-10-17 06:07:00,392,-5434.75,-5622.25,-5299.1875,323.0625
477,Block 1,2008-07-19 11:55:00,2008-08-22 00:47:00,392,5.8092,4.34545,7.411325,3.065875
477,Block 2,2008-08-22 01:04:00,2008-09-11 08:06:00,391,6.0387,4.8071,7.7315000000000005,2.9244000000000003
477,Block 3,2008-09-11 08:58:00,2008-09-29 11:13:00,388,4.64255,3.716425,5.814975,2.0985499999999995
477,Block 4,2008-09-29 11:53:00,2008-10-17 06:07:00,390,4.8439,3.87355,6.114175,2.2406250000000005
341,Block 1,2008-07-19 11:55:00,2008-08-22 00:47:00,392,2.5321,1.9839250000000002,3.25985,1.275925
341,Block 2,2008-08-22 01:04:00,2008-09-11 08:06:00,391,2.6647,2.15775,3.3182,1.16045
341,Block 3,2008-09-11 08:58:00,2008-09-29 11:13:00,388,2.1912000000000003,1.704275,2.618025,0.9137499999999998
341,Block 4,2008-09-29 11:53:00,2008-10-17 06:07:00,390,2.16625,1.77245,2.70645,0.9339999999999997
